recipe_name,ingredients,instructions,difficulty,time_to_cook_min,cuisine,tags
Butter Chicken (Murgh Makhani),chicken thighs; yogurt; lemon juice; garlic; ginger; garam masala; butter; tomato puree; cream; chilli powder; fenugreek leaves; salt; oil,"Marinate chicken with yogurt, spices, garlic and ginger, then grill or pan-fry until charred. In a pan, cook tomato puree with butter and spices, then add cream. Simmer chicken in the sauce until tender.",medium,50,Indian,high protein; contains dairy
Chana Masala,canned chickpeas; onion; tomato; garlic; ginger; green chilli; cumin seeds; coriander powder; garam masala; turmeric; oil; salt; lemon; coriander leaves,"Fry cumin seeds in hot oil. Add chopped onion, garlic, ginger and chilli and cook until golden. Stir in tomatoes and spices and cook to a thick paste. Add chickpeas and a little water, simmer and finish with lemon and coriander.",easy,35,Indian,vegan; high fiber; gluten free
Palak Paneer,spinach; paneer; onion; tomato; garlic; ginger; green chilli; garam masala; cumin seeds; cream; oil; salt,"Blanch spinach and blend to a smooth puree. Fry cumin seeds, then add onion, garlic, ginger and chilli until golden. Stir in tomato and spices, then add spinach puree. Simmer and add paneer cubes and a splash of cream.",medium,40,Indian,vegetarian; gluten free
Chicken Tikka Masala,chicken breast; yogurt; garlic; ginger; garam masala; cumin; tomato puree; cream; onion; butter; chilli powder; coriander; salt,"Marinate chicken in yogurt and spices, then grill or roast until lightly charred. Fry onion in butter, add spices and tomato puree and cook to a thick sauce. Add cream and grilled chicken and simmer briefly.",medium,45,Indian,high protein; contains dairy
Vegetable Biryani,basmati rice; mixed vegetables; onion; yogurt; ginger garlic paste; biryani masala; whole spices; saffron; ghee; coriander; mint; salt,"Parboil basmati rice with whole spices. Fry onions until golden, then cook vegetables with yogurt and biryani spices. Layer rice and vegetable masala in a pot with saffron milk and ghee, then steam until fragrant.",hard,70,Indian,vegetarian; gluten free
Dal Tadka,yellow lentils; tomato; onion; garlic; ginger; cumin seeds; mustard seeds; turmeric; chilli powder; oil; coriander leaves; salt,"Boil lentils with turmeric and salt until soft. In a pan, heat ghee, crackle cumin and mustard seeds, then fry onion, garlic and ginger until golden with spices. Pour the tempering over the cooked dal and garnish with coriander.",easy,30,Indian,vegetarian; high protein; gluten free
Aloo Gobi,potatoes; cauliflower; onion; tomato; garlic; ginger; cumin seeds; coriander powder; turmeric; chilli powder; oil; salt; coriander leaves,"Heat oil and fry cumin seeds. Add onion, garlic and ginger until translucent. Stir in spices, then add potato cubes and cauliflower florets. Cook covered until tender, tossing occasionally, then finish with coriander leaves.",easy,35,Indian,vegan; gluten free
Lamb Rogan Josh,lamb chunks; yogurt; onion; garlic; ginger; Kashmiri chilli powder; garam masala; whole spices; tomato puree; oil; salt,"Brown lamb in oil and set aside. Cook sliced onions until deep golden, then add garlic, ginger and spices. Stir in tomato puree and yogurt, then return lamb and add water. Simmer gently until the meat is very tender.",hard,90,Indian,high protein; spicy
Masala Dosa,rice dosa batter; potatoes; onion; green chilli; mustard seeds; curry leaves; turmeric; oil; salt; ghee,"Cook potatoes and mash roughly. Make a tempering with oil, mustard seeds, curry leaves, onion, chilli and turmeric, then stir in potatoes. Spread dosa batter on a hot pan, drizzle with ghee, fill with potato masala and fold.",hard,60,Indian,vegetarian; gluten free
Paneer Butter Masala,paneer; tomato puree; onion; garlic; ginger; butter; cream; cashews; garam masala; chilli powder; sugar; salt,"Blend sautéed onion, tomatoes and soaked cashews to a smooth sauce. Cook the sauce with butter and spices until rich, then stir in cream and paneer cubes. Simmer briefly and serve.",medium,40,Indian,vegetarian; rich; gluten free
Chicken Tacos al Pastor,chicken thighs; achiote paste; pineapple juice; vinegar; garlic; oregano; cumin; tortillas; pineapple; onion; coriander; lime; salt,"Marinate sliced chicken in achiote, pineapple juice, vinegar, garlic and spices. Grill or pan-fry until charred at the edges. Serve on warm tortillas with diced pineapple, onion, coriander and lime.",medium,45,Mexican,street food; high protein
Beef Burrito,large flour tortillas; minced beef; onion; garlic; cumin; chilli powder; cooked rice; black beans; cheddar cheese; salsa; sour cream; lettuce; oil; salt,"Sauté onion and garlic in oil, then brown minced beef with spices. Warm tortillas and layer with rice, beef, beans, cheese, salsa and lettuce. Roll tightly into burritos and toast in a dry pan if desired.",easy,35,Mexican,high protein; contains gluten
Chicken Quesadillas,flour tortillas; cooked shredded chicken; cheddar; bell peppers; onion; oil; salt; pepper,"Cook sliced peppers and onions until soft. Layer a tortilla with cheese, chicken and vegetables, then top with another tortilla. Cook in a lightly oiled pan until both sides are golden and cheese melts, then slice into wedges.",easy,20,Mexican,kid friendly; contains gluten
Vegetarian Nachos,corn tortilla chips; black beans; jalapeños; cheddar; salsa; sour cream; guacamole; coriander,"Spread tortilla chips on a baking tray, top with beans, jalapeños and grated cheese. Bake until cheese melts. Serve with spoons of salsa, sour cream, guacamole and coriander.",easy,15,Mexican,vegetarian; party food; gluten free
Chicken Enchiladas Verdes,corn tortillas; shredded chicken; salsa verde; onion; garlic; coriander; sour cream; cheese; oil; salt,"Warm salsa verde in a pan. Lightly fry tortillas in oil, then dip in salsa. Fill with chicken, roll and place in a baking dish. Cover with more salsa and cheese, then bake until bubbling. Serve with sour cream and coriander.",medium,40,Mexican,high protein; gluten free
Huevos Rancheros,corn tortillas; eggs; tomato sauce; onion; garlic; jalapeño; black beans; coriander; oil; salt; pepper,"Cook a simple tomato sauce with onion, garlic and jalapeño. Fry tortillas until crisp. Fry eggs sunny-side up. Serve eggs on tortillas topped with warm sauce, beans and coriander.",easy,25,Mexican,vegetarian; high protein; breakfast
Guacamole,ripe avocados; red onion; tomato; lime juice; coriander; jalapeño; salt,"Mash avocados in a bowl. Stir in finely chopped onion, tomato, coriander and jalapeño. Season with lime juice and salt to taste.",easy,10,Mexican,vegan; gluten free; keto friendly
Chicken Fajitas,chicken breast; bell peppers; onion; fajita seasoning; oil; flour tortillas; lime; sour cream; salsa,"Slice chicken and vegetables. Toss with oil and fajita seasoning, then cook in a hot pan until chicken is done and vegetables are slightly charred. Serve with warm tortillas and toppings.",easy,25,Mexican,high protein; crowd pleaser
Beef Tostadas,crispy tostada shells; refried beans; seasoned minced beef; lettuce; tomato; cheese; sour cream; salsa,"Spread warm refried beans over tostada shells. Top with cooked spiced minced beef, shredded lettuce, diced tomatoes, cheese and sour cream. Spoon over salsa and serve immediately.",easy,30,Mexican,high protein; party food
Fish Tacos with Slaw,white fish fillets; lime juice; chilli powder; cumin; corn tortillas; cabbage; yogurt; coriander; salt; oil,"Marinate fish in lime juice and spices, then pan-fry until flaky. Toss shredded cabbage with yogurt, lime and coriander. Serve fish in warm tortillas topped with slaw.",easy,25,Mexican,high protein; pescatarian
Chicken Fried Rice,cooked rice; chicken; egg; peas; carrots; spring onion; soy sauce; sesame oil; garlic; vegetable oil; salt; pepper,"Scramble eggs in a hot wok and set aside. Stir-fry diced chicken until cooked, then add vegetables and garlic. Add rice, soy sauce and sesame oil, tossing until hot. Stir eggs back in and finish with spring onion.",easy,25,Chinese,high protein; great for leftovers
Beef and Broccoli Stir-Fry,beef strips; broccoli florets; garlic; ginger; soy sauce; oyster sauce; cornstarch; sugar; vegetable oil; water,"Marinate beef briefly in soy sauce and cornstarch. Stir-fry beef in hot oil until just browned, then remove. Stir-fry broccoli with garlic and ginger, add sauces and a splash of water, then return beef and cook until the sauce thickens.",easy,20,Chinese,high protein
Kung Pao Chicken,diced chicken; peanuts; dried chillies; spring onion; garlic; ginger; soy sauce; black vinegar; sugar; cornstarch; oil,"Marinate chicken in soy sauce and cornstarch. Fry dried chillies until fragrant, then add chicken and stir-fry. Add garlic, ginger and sauce mixture, cooking until glossy. Toss in peanuts and spring onion and serve.",medium,30,Chinese,spicy; high protein; contains nuts
Mapo Tofu,soft tofu; minced pork; doubanjiang chili bean paste; garlic; ginger; Sichuan peppercorn; soy sauce; stock; cornstarch; spring onion; oil,"Brown minced pork with garlic and ginger. Stir in chili bean paste and Sichuan peppercorn, then add stock and tofu cubes. Simmer briefly, then thicken with cornstarch slurry. Garnish with spring onion.",medium,25,Chinese,spicy; high protein
Vegetable Chow Mein,chow mein noodles; cabbage; carrots; bell peppers; bean sprouts; soy sauce; oyster sauce; garlic; sesame oil; vegetable oil; spring onion,"Cook noodles and drain. Stir-fry vegetables and garlic in hot oil. Add noodles and sauces, tossing until heated through. Finish with sesame oil and spring onion.",easy,20,Chinese,stir fry; contains gluten
Sweet and Sour Pork,pork cubes; pineapple; bell peppers; onion; ketchup; vinegar; sugar; soy sauce; cornstarch; flour; oil; salt,"Coat pork in a light batter of flour and cornstarch and deep-fry until crispy. Stir-fry vegetables and pineapple, then add a sauce made from ketchup, vinegar, sugar and soy sauce. Toss pork in the sauce until coated.",medium,40,Chinese,sweet; contains gluten
Dan Dan Noodles,wheat noodles; minced pork; preserved vegetables; chilli oil; soy sauce; peanut butter; garlic; Sichuan peppercorn; spring onion; stock,"Fry minced pork with garlic and preserved vegetables. Mix a sauce with chilli oil, sesame paste, soy and a little stock. Cook noodles, then toss with sauce, pork and spring onion.",medium,30,Chinese,spicy; street food; contains nuts or sesame
Steamed Ginger Soy Fish,white fish fillets; ginger; spring onion; soy sauce; sesame oil; vegetable oil; coriander,"Place fish on a plate with julienned ginger and steam until just cooked. Heat soy sauce, sesame oil and a little water. Pour sauce over fish, then scatter spring onion and coriander and finish with a splash of hot oil.",easy,20,Chinese,light; pescatarian
Egg Fried Rice,day-old rice; eggs; spring onion; peas; carrots; soy sauce; vegetable oil; sesame oil; salt; pepper,"Scramble eggs in hot oil and set aside. Stir-fry rice until hot, then add vegetables, soy sauce and sesame oil. Stir in eggs and spring onion and season.",easy,15,Chinese,budget friendly; high protein
Hot and Sour Soup,chicken stock; tofu; mushrooms; bamboo shoots; soy sauce; vinegar; white pepper; chilli oil; cornstarch; egg; spring onion,"Bring stock to a simmer with mushrooms and bamboo shoots. Season with soy sauce, vinegar, pepper and chilli oil. Thicken with cornstarch slurry, then slowly drizzle in beaten egg while stirring. Add tofu and spring onion.",medium,30,Chinese,spicy; tangy
Chicken Katsu Curry,chicken breast; panko breadcrumbs; flour; egg; onion; carrot; curry powder; chicken stock; rice; oil; salt,"Coat chicken in flour, egg and panko, then shallow-fry until crisp and cooked through. Simmer sliced onion and carrot in stock with Japanese curry roux until thick. Serve sliced katsu over rice with curry sauce.",medium,45,Japanese,comfort food; contains gluten
Salmon Teriyaki,salmon fillets; soy sauce; mirin; sugar; ginger; sesame seeds; spring onion; oil,"Marinate salmon briefly in soy, mirin, sugar and grated ginger. Pan-fry until almost cooked, then pour in marinade and reduce to a glossy glaze. Garnish with sesame seeds and spring onion.",easy,20,Japanese,high protein; pescatarian
Vegetable Sushi Rolls,sushi rice; nori sheets; cucumber; carrot; avocado; rice vinegar; sugar; salt; soy sauce; wasabi,"Season cooked rice with vinegar, sugar and salt. Spread rice thinly on nori, add strips of vegetables, then roll tightly and slice. Serve with soy sauce and wasabi.",medium,45,Japanese,vegan; dairy free
Miso Soup with Tofu,dashi stock; miso paste; tofu; wakame seaweed; spring onion,"Warm dashi stock gently. Stir in miso paste off the boil until dissolved. Add tofu cubes and soaked wakame, heat briefly and garnish with spring onion.",easy,15,Japanese,light; pescatarian
Chicken Yakitori Skewers,chicken thigh; soy sauce; mirin; sake; sugar; spring onion; skewers,"Thread chicken and spring onion onto skewers. Grill or pan-cook while brushing with a reduced mixture of soy, mirin, sake and sugar until glossy and cooked through.",easy,25,Japanese,high protein; party food
Pork Tonkatsu,pork loin cutlets; flour; egg; panko breadcrumbs; oil; salt; pepper; cabbage; tonkatsu sauce,"Season pork, coat in flour, egg and panko. Deep-fry or shallow-fry until golden and cooked through. Slice and serve with shredded cabbage and tonkatsu sauce.",medium,30,Japanese,crispy; contains gluten
Beef Udon Noodle Soup,udon noodles; thinly sliced beef; stock; soy sauce; mirin; sugar; spring onion; mushrooms,"Simmer stock with soy, mirin and sugar. Add beef and mushrooms and cook briefly. Add cooked udon noodles and garnish with spring onion.",easy,25,Japanese,comfort food; high carb
Okonomiyaki (Japanese Savoury Pancake),cabbage; flour; eggs; dashi; spring onion; bacon; okonomiyaki sauce; mayonnaise; bonito flakes,"Mix chopped cabbage, flour, eggs and water into a thick batter. Pour into a hot pan, top with pork slices and cook both sides until browned. Serve with okonomiyaki sauce, mayonnaise and bonito flakes.",medium,35,Japanese,street food; contains gluten
Tempura Prawns and Vegetables,prawns; mixed vegetables; tempura flour; cold water; oil; soy dipping sauce,Mix a light batter with tempura flour and icy water. Dip prawns and sliced vegetables in batter and fry in hot oil until pale golden and crisp. Serve immediately with dipping sauce.,hard,35,Japanese,party food; contains gluten; pescatarian
Gyudon (Beef Rice Bowl),thinly sliced beef; onion; soy sauce; mirin; sugar; stock; rice; pickled ginger,"Simmer onion in a mix of dashi, soy, mirin and sugar. Add beef slices and cook briefly. Serve over hot rice with pickled ginger.",easy,20,Japanese,quick meal; high protein
Pad Thai with Prawns,rice noodles; prawns; eggs; beansprouts; spring onion; garlic; tamarind paste; fish sauce; palm sugar; peanuts; lime; oil,"Soak rice noodles until pliable. Stir-fry garlic and prawns, push aside and scramble eggs. Add noodles, tamarind, fish sauce and sugar, tossing until glossy. Stir in beansprouts and spring onion, then top with peanuts and lime.",medium,30,Thai,street food; contains nuts; pescatarian
Green Thai Chicken Curry,chicken; green curry paste; coconut milk; Thai basil; fish sauce; sugar; aubergine; green beans; kaffir lime leaves; oil,Fry curry paste in oil until fragrant. Add coconut milk and bring to a simmer. Add chicken and vegetables and cook until tender. Season with fish sauce and sugar and finish with basil and lime leaves.,medium,35,Thai,gluten free; high protein
Tom Yum Goong (Spicy Shrimp Soup),prawns; lemongrass; kaffir lime leaves; galangal; mushrooms; fish sauce; lime juice; Thai chillies; coriander; stock,"Simmer stock with lemongrass, lime leaves and galangal. Add prawns and mushrooms and cook briefly. Season with fish sauce, lime juice and chillies. Garnish with coriander.",medium,25,Thai,spicy; gluten free; pescatarian
Massaman Beef Curry,beef chunks; massaman curry paste; coconut milk; potatoes; onion; roasted peanuts; tamarind; fish sauce; sugar; oil,"Fry curry paste in oil until aromatic. Add coconut milk and beef and simmer gently until tender. Add potatoes and onion and cook until soft. Season with tamarind, fish sauce and sugar, and stir in peanuts.",hard,90,Thai,contains nuts; gluten free
Thai Basil Chicken (Pad Krapow Gai),minced chicken; garlic; Thai chillies; fish sauce; soy sauce; sugar; Thai basil; green beans; oil; rice,"Crush garlic and chillies, then fry briefly in hot oil. Add minced chicken and beans and stir-fry. Season with fish sauce, soy and sugar, then stir in basil leaves until wilted. Serve over rice.",easy,20,Thai,spicy; high protein
Som Tum (Green Papaya Salad),shredded green papaya; cherry tomatoes; green beans; garlic; Thai chillies; fish sauce; lime juice; palm sugar; roasted peanuts,"Pound garlic and chillies in a mortar. Add sugar, fish sauce and lime juice to make a dressing. Toss with papaya, beans, tomatoes and peanuts.",medium,25,Thai,spicy; contains nuts; gluten free
Thai Red Curry with Tofu,firm tofu; red curry paste; coconut milk; mixed vegetables; Thai basil; fish sauce; sugar; oil,Fry curry paste in oil. Add coconut milk and bring to a simmer. Add tofu cubes and vegetables and cook until tender. Season and finish with Thai basil.,easy,30,Thai,curry; high protein; dairy free
Pad See Ew (Stir-Fried Wide Rice Noodles),wide rice noodles; Chinese broccoli; egg; soy sauce; dark soy; sugar; garlic; oil,"Stir-fry garlic in hot oil, then add egg and scramble. Add noodles and Chinese broccoli, then season with light and dark soy and sugar. Toss over high heat until slightly charred.",medium,25,Thai,street food; vegetarian
Thai Coconut Sticky Rice with Mango,glutinous rice; coconut milk; sugar; salt; ripe mango; sesame seeds,Steam soaked glutinous rice until tender. Warm coconut milk with sugar and salt and stir most into the rice. Serve with sliced mango and drizzle with extra coconut milk and sesame seeds.,medium,60,Thai,dessert; gluten free; dairy free
Thai Fried Rice with Crab,day-old rice; crab meat; egg; garlic; spring onion; fish sauce; soy sauce; white pepper; oil; lime,"Stir-fry garlic in oil, add egg and scramble. Add rice and crab meat and toss. Season with fish sauce, soy and pepper, then garnish with spring onion and lime.",easy,20,Thai,pescatarian; high protein
Greek Moussaka,eggplant; potatoes; minced beef; onion; garlic; tomato puree; cinnamon; oregano; red wine; béchamel sauce; cheese; olive oil; salt; pepper,"Roast or fry sliced eggplant and potatoes. Cook a spiced meat sauce with onion, garlic, tomato and wine. Layer vegetables and meat in a dish, top with thick béchamel and cheese and bake until golden.",hard,90,Greek,comfort food; contains dairy; contains gluten
Greek Salad (Horiatiki),tomatoes; cucumber; red onion; green pepper; Kalamata olives; feta; oregano; olive oil; red wine vinegar; salt,"Chunk vegetables into a bowl, add olives and a slab of feta. Drizzle with olive oil and vinegar, sprinkle with oregano and salt.",easy,15,Greek,vegetarian; gluten free; high in vegetables
Chicken Souvlaki Wraps,chicken breast; lemon juice; garlic; oregano; olive oil; pita bread; tomato; onion; tzatziki; lettuce; salt; pepper,"Marinate chicken in lemon, garlic, oregano and oil, then grill on skewers. Serve in warm pita with vegetables and tzatziki.",easy,30,Greek,street food; high protein
Spanakopita (Spinach and Feta Pie),spinach; feta; onion; dill; eggs; filo pastry; butter; salt; pepper,"Sauté onion and wilt spinach, then mix with crumbled feta, dill and eggs. Layer filo sheets brushed with butter in a tray, add filling and cover with more filo. Bake until crisp and golden.",medium,60,Greek,vegetarian; contains gluten
Tzatziki Dip,Greek yogurt; cucumber; garlic; olive oil; lemon juice; dill; salt; pepper,"Grate cucumber and squeeze out excess water. Mix with yogurt, crushed garlic, olive oil, lemon juice and dill. Season and chill before serving.",easy,15,Greek,vegetarian; high protein; gluten free
Coq au Vin,chicken pieces; bacon; mushrooms; pearl onions; red wine; chicken stock; garlic; thyme; flour; butter; oil; salt; pepper,"Brown bacon and chicken in a heavy pot. Add vegetables and garlic, then sprinkle with flour. Pour in wine and stock, add herbs and simmer slowly until chicken is tender and sauce is glossy.",hard,90,French,comfort food; high protein
Ratatouille,aubergine; courgette; peppers; onion; garlic; tomatoes; olive oil; thyme; basil; salt; pepper,"Sauté vegetables separately in olive oil until softened, then combine in a pot with tomatoes, garlic and herbs. Simmer until tender and flavoursome.",medium,50,French,vegan; gluten free; high in vegetables
Quiche Lorraine,shortcrust pastry; eggs; cream; milk; bacon lardons; Gruyère cheese; salt; pepper; nutmeg,"Blind bake pastry. Fry bacon until crisp. Whisk eggs with cream, milk and seasoning. Scatter bacon and cheese in the pastry case, pour over custard and bake until set and golden.",medium,60,French,brunch; contains gluten; contains dairy
Beef Bourguignon,beef chunks; bacon; mushrooms; carrots; onion; red wine; beef stock; tomato paste; garlic; thyme; bay leaf; flour; butter; oil; salt; pepper,"Brown bacon and beef, then set aside. Sauté vegetables and garlic, stir in flour and tomato paste, then add wine and stock. Return beef and simmer gently until very tender.",hard,150,French,slow cook; high protein
Nicoise Salad,tuna; green beans; potatoes; tomatoes; olives; boiled eggs; anchovies; lettuce; olive oil; red wine vinegar; Dijon mustard; salt; pepper,"Boil potatoes and beans until tender. Arrange lettuce on a platter with potatoes, beans, tomatoes, olives, tuna and eggs. Drizzle with a mustard vinaigrette and top with anchovies if using.",easy,30,French,high protein; pescatarian; gluten free
Chicken Shawarma Bowl,chicken thighs; shawarma spice mix; garlic; lemon juice; yogurt; olive oil; rice; cucumber; tomato; parsley; tahini sauce; salt,"Marinate chicken in yogurt, lemon, garlic and spices, then roast or grill until charred. Serve over rice or bulgur with salad and tahini sauce.",medium,45,Middle Eastern,high protein; meal prep friendly
Falafel with Tahini Sauce,dried chickpeas; onion; garlic; parsley; coriander leaves; cumin; coriander powder; flour; baking powder; tahini; lemon juice; oil; salt,"Soak chickpeas and blend with herbs, spices, onion and garlic to a coarse paste. Form balls and deep-fry until crisp. Serve with tahini, lemon and water whisked into a sauce.",medium,60,Middle Eastern,vegan; high protein
Hummus,cooked chickpeas; tahini; garlic; lemon juice; olive oil; salt; cumin; water,"Blend chickpeas, tahini, garlic, lemon juice and cumin with a little water until smooth. Adjust seasoning and drizzle with olive oil.",easy,15,Middle Eastern,vegan; gluten free; high fiber
Lamb Kofta Kebabs,minced lamb; onion; garlic; parsley; cumin; coriander; paprika; salt; pepper; skewers; yogurt sauce,"Mix lamb with finely chopped onion, garlic, herbs and spices. Shape onto skewers and grill until cooked through and slightly charred. Serve with yogurt sauce.",medium,30,Middle Eastern,high protein; barbecue friendly
Tabbouleh Salad,bulgur wheat; parsley; mint; tomatoes; spring onion; lemon juice; olive oil; salt; pepper,"Soak bulgur in hot water until tender, then drain. Mix with finely chopped herbs, tomatoes and spring onion. Dress with lemon juice and olive oil and season.",easy,25,Middle Eastern,vegan; high in herbs
Classic Beef Burger,minced beef; salt; pepper; burger buns; cheese slices; lettuce; tomato; onion; pickles; ketchup; mustard,"Form beef into patties and season. Grill or pan-fry until cooked to your liking, adding cheese to melt. Serve in toasted buns with toppings and sauces.",easy,25,American,high protein; comfort food
Mac and Cheese,macaroni; butter; flour; milk; cheddar cheese; mustard powder; salt; pepper; breadcrumbs,"Cook macaroni until al dente. Make a roux with butter and flour, whisk in milk and cook until thick. Stir in cheese and seasoning, then mix with pasta. Top with breadcrumbs and bake until golden.",medium,40,American,comfort food; vegetarian; contains gluten
Buffalo Chicken Wings,chicken wings; flour; butter; hot sauce; garlic powder; salt; pepper; oil; celery; blue cheese dip,Coat wings in seasoned flour and fry or bake until crisp. Toss in a mixture of melted butter and hot sauce. Serve with celery sticks and blue cheese dip.,medium,45,American,spicy; party food
Caesar Salad with Grilled Chicken,romaine lettuce; chicken breast; croutons; Parmesan; anchovies; garlic; lemon juice; olive oil; egg; Dijon mustard; salt; pepper,"Grill seasoned chicken until cooked, then slice. Blend dressing ingredients to a creamy sauce. Toss lettuce with dressing, top with croutons, chicken and shaved Parmesan.",medium,30,American,high protein; contains gluten; contains fish
Chocolate Brownies,dark chocolate; butter; sugar; eggs; flour; cocoa powder; salt; vanilla extract,"Melt chocolate and butter together. Whisk in sugar and eggs, then fold in dry ingredients. Pour into a lined tin and bake until just set and fudgy.",easy,35,American,dessert; vegetarian; contains gluten
Seafood Paella,paella rice; prawns; mussels; squid; chicken stock; onion; garlic; tomato; saffron; paprika; peas; olive oil; lemon; salt,"Sauté onion, garlic and tomato in olive oil. Add rice, saffron and paprika and toast briefly. Pour in stock and simmer without stirring. Arrange seafood and peas on top and cook until rice is tender and seafood is done.",hard,60,Spanish,pescatarian; party dish; gluten free
Spanish Tortilla (Potato Omelette),potatoes; onion; eggs; olive oil; salt; pepper,"Slowly fry sliced potatoes and onion in plenty of olive oil until tender. Drain, then mix with beaten eggs and season. Cook in a pan on both sides until set in the centre.",medium,35,Spanish,vegetarian; gluten free
Patatas Bravas,potatoes; olive oil; tomato sauce; garlic; smoked paprika; chilli; mayonnaise; salt; pepper,"Roast or fry potato cubes until crisp. Simmer tomato sauce with garlic, paprika and chilli to make a spicy bravas sauce. Serve potatoes topped with sauce and mayonnaise.",easy,40,Spanish,vegetarian; tapas; gluten free
Garlic Prawns (Gambas al Ajillo),prawns; garlic; olive oil; chilli flakes; parsley; lemon; salt,Gently fry sliced garlic and chilli in olive oil until fragrant. Add prawns and cook just until pink. Finish with parsley and lemon.,easy,15,Spanish,tapas; pescatarian; gluten free
Pan con Tomate,crusty bread; ripe tomatoes; garlic; olive oil; salt,"Toast bread slices. Rub with garlic and ripe tomato, letting the juices soak in. Drizzle with olive oil and sprinkle with salt.",easy,10,Spanish,vegan; snack; contains gluten
Vietnamese Pho Bo (Beef Noodle Soup),beef bones; beef brisket; rice noodles; onion; ginger; star anise; cinnamon; fish sauce; sugar; beansprouts; herbs; lime; chilli,"Simmer beef bones with charred onion, ginger and spices for several hours to make broth. Cook rice noodles separately. Serve noodles in bowls topped with sliced beef and pour over hot broth. Garnish with beansprouts, herbs, lime and chilli.",hard,240,Vietnamese,comfort food; high protein; dairy free
Banh Mi Pork Sandwich,baguette; marinated grilled pork; pickled carrots; pickled daikon; cucumber; coriander; mayonnaise; chilli; soy sauce,"Grill marinated pork until caramelised. Spread baguette with mayonnaise and soy, then fill with pork, pickled vegetables, cucumber, coriander and chilli.",medium,40,Vietnamese,street food; contains gluten
Fresh Spring Rolls with Prawns,rice paper wrappers; prawns; rice vermicelli; lettuce; herbs; cucumber; carrots; peanut dipping sauce,"Soak rice paper briefly, then fill with cooked prawns, noodles, vegetables and herbs. Roll tightly and serve with peanut sauce.",medium,35,Vietnamese,light; gluten free; contains nuts
